Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
80,483,7/10/2011,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,7/12/2011
97,613,6/17/2011,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,6/17/2011
98,613,6/17/2011,High,22,905.08,0.09,Regular Air,127.70,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,6/18/2011
103,643,3/24/2011,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,3/25/2011
160,995,5/30/2011,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,5/31/2011
229,1539,3/9/2011,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,3/11/2011
230,1539,3/9/2011,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,3/14/2011
249,1702,5/6/2011,High,23,67.24,0.06,Regular Air,4.90,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accentª Tank-Style Highlighters,Wrap Bag,0.54,5/7/2011
331,2277,1/1/2011,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,1/2/2011
332,2277,1/1/2011,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,1/3/2011
362,2532,10/10/2011,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,10/11/2011
363,2532,10/10/2011,High,24,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,10/11/2011
406,2757,7/19/2011,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,7/19/2011
606,4132,5/28/2011,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,5/30/2011
669,4676,8/31/2011,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,9/1/2011
670,4676,8/31/2011,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,9/2/2011
671,4676,8/31/2011,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,9/2/2011
672,4676,8/31/2011,High,30,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,9/1/2011
734,5284,7/8/2011,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,7/10/2011
786,5607,12/31/2011,Not Specified,8,61.8715,0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,1/3/2012
821,5925,11/12/2011,Low,44,3922.42,0.08,Regular Air,-354.90,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,11/19/2011
822,5925,11/12/2011,Low,25,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,11/19/2011
964,6982,11/16/2011,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,11/18/2011
